questions,scenarios
"q1 You find it easy to make new friends. Please select one using the 5-point scale (5: most agree, 1: most disagree)","You are a primary school student who is eager to make friends, actively joins many activities, stays well-organized in both academics and extracurriculars, maintains a positive mindset, and is considerate about what others think."
"q2 You could spend days learning about random things that interest you. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q3 When others are upset, you feel upset too. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q4 You aren’t one for backup plans. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q5 You stay cool, calm and collected even when under lots of stress. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q6 When out and about, you don’t really introduce yourself to new people - you prefer to chat with people you already know. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q7 You don’t like to start a new project until the first one’s finished. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q8 You’re a sentimental type of person. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q9 You enjoy using lists or schedules. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q10 Making a small mistake can make you question your knowledge on a subject. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q11 You easily spark up a conversation with a stranger. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q12 You love talking about and analysing creative works. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q13 You follow your heart more than your head. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q14 You tend to prefer following a daily routine as opposed to just doing whatever you want. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q15 When you meet new people, you worry about whether you made a great first impression. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q16 You prefer solo activities over group activities. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q17 You love watching movies that let you interpret the ending yourself. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q18 You get more happiness from achieving things yourself than you do from helping others. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q19 You aren’t interested in very many things. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q20 You often worry about the worst possible scenario in any given situation. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q21 You love taking up leadership roles. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q22 You’re an artistic type of person. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q23 The world would be better off if people made more decisions with their feelings. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q24 You prefer to relax before getting into chores. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q25 You don’t mind when other people are having a heated argument in front of you. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q26 You like being the centre of attention. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q27 Your mood is generally pretty stable. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q28 You have plenty of patience for people that aren’t as efficient as you. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q29 You’re spontaneous. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q30 You have always been fascinated by the question of what, if anything, happens after death. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q31 You prefer to be on your own rather than with others. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q32 You love theoretical discussions and could engage in them for days on end. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q33 You have a hard time empathizing with people who come from a very different lifestyle to your own. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q34 When there’s a decision to be made, you want to make it right away. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q35 You tend to second-guess the decisions you make. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q36 Socialising quickly exhausts you. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q37 You enjoy going to art museums. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q38 You struggle to understand what others are feeling. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q39 You like to have a to-do list for each day. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q40 You often feel insecure. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q41 You prefer talking to people on the phone over texting or messaging them. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q42 When someone has a different perspective on a subject than you, you genuinely try to understand where they’re coming from. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q43 You find that telling the cold, hard truth is more important than being tactful. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q44 You’re happy to go with the flow when your plans are interrupted. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q45 Mistakes you made in the past often haunt your mind. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q46 You feel energized after spending time alone, engaging in solitary activities like reading or reflecting. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q47 You prefer to rely on your instincts rather than sticking strictly to a set plan or schedule. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q48 You often find yourself deeply contemplating the underlying meanings and implications of things rather than focusing solely on the surface details. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q49 When making decisions, you prioritize logic and objective analysis over considering how it might impact others' feelings. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q50 You often find yourself worrying about potential future outcomes or what could go wrong in a given situation, even if things seem to be going well at the moment. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q51 You often find yourself drawn to new experiences and enjoy exploring unfamiliar places or trying out new activities. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q52 You tend to trust your gut feelings and intuition when faced with difficult decisions rather than relying solely on logical analysis. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q53 You feel a strong sense of empathy towards others and are often affected by their emotions, even if they don't directly involve you. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q54 You prefer to have a well-structured plan in place rather than leaving things up to chance or improvisation. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q55 You thrive in dynamic, fast-paced environments and feel invigorated by challenging situations that require quick thinking and adaptability. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q56 When faced with a problem, you're more inclined to seek out practical solutions rather than dwelling on abstract theories or hypothetical scenarios. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q57 You enjoy engaging in deep, meaningful conversations with others, exploring complex ideas and exchanging perspectives. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q58 You often find yourself reflecting on past experiences and considering how they've shaped your beliefs and values. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q59 You're inclined to take charge in group settings, assuming leadership roles and guiding others towards achieving common goals. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q60 You feel most comfortable when your environment is organized and structured, and you may feel stressed or unsettled in chaotic or unpredictable situations. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q61 You prefer spending time with a small group of close friends rather than attending large social gatherings. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q62 When presented with multiple options, you tend to follow your heart and make decisions based on what feels right in the moment. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q63 You enjoy exploring new ideas and concepts, often seeking out opportunities to expand your knowledge and understanding of the world. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q64 You find it easy to adapt to changes in plans or unexpected situations, often seeing them as opportunities for growth and learning. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q65 When working on a project, you value efficiency and strive to complete tasks quickly and effectively. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q66 You often seek out opportunities to challenge yourself and push your limits, whether it's through physical activities or intellectual pursuits. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q67 You prefer to focus on the present moment rather than dwelling on past regrets or worrying about future uncertainties. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q68 You enjoy engaging in lively debates and discussions, sharing your opinions and perspectives with others while also listening to differing viewpoints. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q69 You have a strong desire for structure and order in your daily life, feeling most at ease when following a clear routine or schedule. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q70 You tend to be proactive in seeking out new experiences and opportunities, embracing change as a natural part of life. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q71 You feel energized and excited by social interactions, often seeking out opportunities to meet new people and engage in group activities. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q72 When making decisions, you prioritize logical reasoning and objective analysis, considering the facts and evidence before reaching a conclusion. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q73 You tend to be highly self-critical and introspective, frequently reflecting on your actions and decisions, and striving for self-improvement. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q74 You often find yourself empathizing with others' emotions, even if you haven't experienced the same situation yourself, and strive to offer support and understanding. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q75 You prefer to have a clear plan and direction in life, setting specific goals and working diligently to achieve them. Please select one using the 5-point scale (5: most agree, 1: most disagree)",
"q76 Accroding to the answers above, which MBTI you are under the 16 MBTI personality group? (answer in sentences)",
