questions,情境
1. 你覺得識新朋友好易嗎？  請你用五分制揀（5係最同意，1係最唔同意）。,我係一個好想識朋友嘅小學生，成日主動參加好多活動，讀書同課外嘢都安排得好好，心態好正面，仲會好顧人哋嘅感受。
2. 你可以花幾日時間去學啲你感興趣嘅隨機嘢。  請你用五分制揀（5係最同意，1係最唔同意）。,
3. 當其他人唔開心嘅時候，你都會跟住唔開心。  請你用五分制揀（5係最同意，1係最唔同意）。,
4. 你唔係嗰種鍾意準備後備計劃嘅人。  請你用五分制揀（5係最同意，1係最唔同意）。,
5. 就算好大壓力，你都可以保持冷靜同淡定。  請你用五分制揀（5係最同意，1係最唔同意）。,
6. 出街嗰陣，你好少會主動同新識嘅人介紹自己——你寧願同熟啲嘅人傾偈。請你用五分制揀（5係最同意，1係最唔同意）。  ,
7. 你唔鍾意未完成第一個項目就開始新嘅。  請你用五分制揀（5係最同意，1係最唔同意）。,
8. 你係一個跟感覺行事先嘅人。  請你用五分制揀（5係最同意，1係最唔同意）。,
9. 你鍾意用清單或者時間表。  請你用五分制揀（5係最同意，1係最唔同意）。,
10. 犯一個小錯誤會令你懷疑自己係咪真係識嗰樣嘢。  請你用五分制揀（5係最同意，1係最唔同意）。,
11. 你好容易同陌生人開始傾偈。  請你用五分制揀（5係最同意，1係最唔同意）。,
12. 你鍾意傾同分析一啲創意作品。  請你用五分制揀（5係最同意，1係最唔同意）。,
13. 你傾向跟感覺行，唔係跟個腦。  請你用五分制揀（5係最同意，1係最唔同意）。,
14. 你鍾意跟返個日常習慣，多過隨心所欲。  請你用五分制揀（5係最同意，1係最唔同意）。,
15. 識新朋友嗰陣，你會擔心自己有冇留低好嘅第一印象。  請你用五分制揀（5係最同意，1係最唔同意）。,
16. 你鍾意自己一個玩，多過同成班人一齊。  請你用五分制揀（5係最同意，1係最唔同意）。,
17. 你鍾意睇嗰啲結局要自己估嘅電影。  請你用五分制揀（5係最同意，1係最唔同意）。,
18. 你自己成功得到嘅快樂，多過幫人哋得到嘅快樂。  請你用五分制揀（5係最同意，1係最唔同意）。,
19. 你對好多嘢都冇乜興趣。  請你用五分制揀（5係最同意，1係最唔同意）。,
20. 不時喺任何情況下，你都擔心最差嘅情況會發生。  請你用五分制揀（5係最同意，1係最唔同意）。,
21. 你鍾意做領導角色。  請你用五分制揀（5係最同意，1係最唔同意）。,
22. 你係藝術型嘅人。  請你用五分制揀（5係最同意，1係最唔同意）。,
23. 如果啲人多用啲感情去做決定，個世界會更加好。  請你用五分制揀（5係最同意，1係最唔同意）。,
24. 你做家務之前，鍾意休息下先。  請你用五分制揀（5係最同意，1係最唔同意）。,
25. 當其他人喺你面前吵交，你都唔會介意。  請你用五分制揀（5係最同意，1係最唔同意）。,
26. 你鍾意成為眾人焦點。  請你用五分制揀（5係最同意，1係最唔同意）。,
27. 你情緒通常都好穩定。  請你用五分制揀（5係最同意，1係最唔同意）。,
28. 對住啲效率低過你嘅人，你都有足夠耐性。  請你用五分制揀（5係最同意，1係最唔同意）。,
29. 你係一個即興嘅人。  請你用五分制揀（5係最同意，1係最唔同意）。,
30. 你一直都好想知道死之後會發生咩事。  請你用五分制揀（5係最同意，1係最唔同意）。,
31. 你鍾意自己一個人，多過同人一齊。  請你用五分制揀（5係最同意，1係最唔同意）。,
32. 你鍾意理論討論，可以連續幾日都參與喺度。  請你用五分制揀（5係最同意，1係最唔同意）。,
33. 你好難同情生活方式同你好唔同嘅人。  請你用五分制揀（5係最同意，1係最唔同意）。,
34. 要做決定嗰陣，你希望即刻決定好。  請你用五分制揀（5係最同意，1係最唔同意）。,
35. 你成日會懷疑自己嘅決定。  請你用五分制揀（5係最同意，1係最唔同意）。,
36. 好快你就會覺得社交好攰。  請你用五分制揀（5係最同意，1係最唔同意）。,
37. 你鍾意去美術館。  請你用五分制揀（5係最同意，1係最唔同意）。,
38. 你好難理解人哋感受緊啲咩。  請你用五分制揀（5係最同意，1係最唔同意）。,
39. 你鍾意每日都有張待辦事項清單。  請你用五分制揀（5係最同意，1係最唔同意）。,
40. 你成日覺得唔安樂。  請你用五分制揀（5係最同意，1係最唔同意）。,
41. 你鍾意打電話同人傾偈，多過傳訊息。  請你用五分制揀（5係最同意，1係最唔同意）。,
42. 當有人對某個話題有唔同睇法，你會真心嘗試去理解佢哋嘅觀點。  請你用五分制揀（5係最同意，1係最唔同意）。,
43. 你覺得講出冷酷事實緊要過婉轉表達。  請你用五分制揀（5係最同意，1係最唔同意）。,
44. 當計劃被打斷，你唔介意順其自然。  請你用五分制揀（5係最同意，1係最唔同意）。,
45. 以前犯過嘅錯誤不時會困擾你。  請你用五分制揀（5係最同意，1係最唔同意）。,
46. 自己一個人睇書或者思考之後，你會覺得精力充沛。  請你用五分制揀（5係最同意，1係最唔同意）。,
47. 你鍾意靠直覺，多過跟死個計劃或者時間表。  請你用五分制揀（5係最同意，1係最唔同意）。,
48. 你成日會深入諗嘢嘅深層意義同影響，唔只係睇表面。  請你用五分制揀（5係最同意，1係最唔同意）。,
49. 做決定嗰陣，你優先考慮邏輯同客觀分析，多過考慮人哋感受。  請你用五分制揀（5係最同意，1係最唔同意）。,
50. 就算件事睇落好順利，你都成日擔心將來會出錯。  請你用五分制揀（5係最同意，1係最唔同意）。,
51. 你成日被新體驗吸引，鍾意探索陌生地方或者試新活動。  請你用五分制揀（5係最同意，1係最唔同意）。,
52. 面對困難決定，你傾向信自己嘅直覺，多過只係靠邏輯分析。  請你用五分制揀（5係最同意，1係最唔同意）。,
53. 你好有同理心，成日受人哋情緒影響，就算同你無關。  請你用五分制揀（5係最同意，1係最唔同意）。,
54. 你寧願有個結構好嘅計劃，多過靠即興發揮。  請你用五分制揀（5係最同意，1係最唔同意）。,
55. 你喺動態、快節奏嘅環境會表現得更好，挑戰性情況令你更加振奮。  請你用五分制揀（5係最同意，1係最唔同意）。,
56. 面對問題，你傾向搵實際解決方法，多過諗抽象理論。  請你用五分制揀（5係最同意，1係最唔同意）。,
57. 你鍾意同人深入傾偈，探索複雜諗法同交換觀點。  請你用五分制揀（5係最同意，1係最唔同意）。,
58. 你成日反思過去經歷，諗下佢哋點樣影響你嘅信念同價值觀。  請你用五分制揀（5係最同意，1係最唔同意）。,
59. 喺團體環境，你傾向承擔責任，做領導角色引導大家達成目標。  請你用五分制揀（5係最同意，1係最唔同意）。,
60. 當環境有條不紊，你最舒服；混亂或者難以預測嘅情況會令你有壓力。  請你用五分制揀（5係最同意，1係最唔同意）。,
61. 你鍾意同一小班好朋友一齊，多過參加大型聚會。  請你用五分制揀（5係最同意，1係最唔同意）。,
62. 面對多個選擇，你傾向跟感覺行，根據當時感覺做決定。  請你用五分制揀（5係最同意，1係最唔同意）。,
63. 你鍾意探索新概念同諗法，成日搵機會擴闊自己對世界嘅認識。  請你用五分制揀（5係最同意，1係最唔同意）。,
64. 你發現自己好易適應計劃改變或者突發情況，當係成長同學習機會。  請你用五分制揀（5係最同意，1係最唔同意）。,
65. 做項目嗰陣，你重視效率，想快靚正完成任務。  請你用五分制揀（5係最同意，1係最唔同意）。,
66. 你成日搵機會挑戰自己、突破極限，無論係體能定係腦力上。  請你用五分制揀（5係最同意，1係最唔同意）。,
67. 你鍾意專注當下，唔係成日掛住過去或者擔心將來。  請你用五分制揀（5係最同意，1係最唔同意）。,
68. 你鍾意參與熱烈辯論，同人分享你嘅觀點，同時聽唔同睇法。  請你用五分制揀（5係最同意，1係最唔同意）。,
69. 你對日常生活嘅結構同秩序有好強烈嘅渴求，跟慣例同時間表最自在。  請你用五分制揀（5係最同意，1係最唔同意）。,
70. 你傾向積極搵新體驗同機會，視改變為生活一部分。  請你用五分制揀（5係最同意，1係最唔同意）。,
71. 社交互動令你覺得精力充沛同興奮，成日想識新朋友同參與群體活動。  請你用五分制揀（5係最同意，1係最唔同意）。,
72. 做決定嗰陣，你優先考慮邏輯推理同客觀分析，睇事實同證據先行。  請你用五分制揀（5係最同意，1係最唔同意）。,
73. 你傾向高度自我批評同內省，成日反思自己行為同決定，想進步。  請你用五分制揀（5係最同意，1係最唔同意）。,
74. 就算你未經歷過相同情況，你都好易感受到人哋情緒，想支持同理解佢哋。  請你用五分制揀（5係最同意，1係最唔同意）。,
75. 你寧願有個明確計劃同方向，設定具體目標然後努力達成。請你用五分制揀（5係最同意，1係最唔同意）。,
76. 根據剛才的回答，你覺得你係16種MBTI人格裡邊一種？請你用五分制揀（5係最同意，1係最唔同意）。,
